net,length_um
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp1_tw_i\[0\],187.81µm
net2932,187.59µm
_14821_,187.36µm
_15006_,187.205µm
_14997_,187.045µm
net3954,186.44µm
_14557_,186.04µm
net3370,185.845µm
net3091,185.405µm
net2861,185.39µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[18\],185.34µm
_17378_,185.065µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp1_tw_r\[9\],185.02µm
net3321,184.98µm
net3369,184.76µm
_15004_,184.725µm
u_fft_core.mdc_ff0_data1_im\[6\],184.415µm
_15010_,184.335µm
_13645_,184.32µm
net2940,184.24µm
_14824_,184.23µm
net2855,184.16µm
_15075_,184.065µm
net3000,183.81µm
net3922,183.785µm
net3777,183.55µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.u_btfly2.o_data0_i\[8\],183.47µm
net3348,183.23µm
net3021,183.13µm
_14758_,182.88µm
net3243,182.515µm
u_fft_core.u_fft4.s1_od_sub_re\[0\],182.5µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[17\],182.28µm
_14314_,182.19µm
net3820,182.17µm
_17806_,182.1µm
net3447,181.14µm
clknet_7_86__leaf_i_clk,180.42µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_i\[3\],180µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp1_tw_i\[0\],179.89µm
u_fft_core.u_twiddle_interface.data2_re_q\[0\],179.715µm
net3357,179.56µm
_15098_,179.2µm
_03409_,179.11µm
net2996,178.705µm
u_fft_core.mdc_ff2_data1_re\[5\],178.46µm
_13765_,178.35µm
net3383,178.075µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_i\[7\],178.04µm
net3827,177.49µm
net2871,177.445µm
net3768,177.335µm
_15089_,177.165µm
_03783_,176.96µm
_03410_,176.94µm
_14753_,176.89µm
net3341,176.5µm
net3973,176.03µm
net2810,175.99µm
net3488,175.94µm
net3591,175.865µm
_14780_,175.82µm
net3293,175.48µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_bt0_i\[0\]\[6\],175.43µm
net3262,175.39µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_r\[3\],174.97µm
net3253,174.8µm
net3871,174.555µm
u_fft_core.u_fft4.r_x1_im\[0\],174.525µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_r\[4\],174.42µm
_13710_,174.31µm
net3160,174.235µm
_14870_,174.18µm
u_fft_core.u_fft4.r_x1_re\[5\],174.165µm
_04138_,173.69µm
net4113,173.685µm
_15099_,173.63µm
net3810,173.365µm
_15001_,173.345µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data0_r\[7\],172.93µm
net3226,172.91µm
u_fft_core.u_fft4.s1_od_sub_re\[3\],172.87µm
net3156,172.85µm
net3063,172.69µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_i\[8\],172.42µm
_15074_,172.045µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_i\[4\],171.91µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_i\[4\],171.73µm
_15445_,171.65µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.current_state,171.37µm
net2900,171.29µm
net3719,171.24µm
net3595,171.02µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_r\[6\],171µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage3.next_data0_r\[0\],170.95µm
net3918,170.95µm
u_fft_core.u_twiddle_interface.mult3_re\[6\],169.82µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_r\[5\],169.39µm
net2999,169.22µm
net3784,169.17µm
clknet_7_57__leaf_i_clk,169.1µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.i_data_0r\[0\],168.805µm
_14863_,168.67µm
u_fft_core.mdc_ff2_data0_im\[7\],168.6µm
net3822,168.525µm
net3780,168.51µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data0_r\[6\],168.43µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data0_i\[4\],168.32µm
u_fft_core.u_fft4.inv_2q,167.995µm
net3155,167.59µm
u_fft_core.mdc_ff1_data0_im\[1\],167.4µm
net3346,167.295µm
_14756_,167.19µm
_13677_,167.04µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.o_valid,166.745µm
net3951,166.245µm
_15087_,165.98µm
_03775_,165.95µm
net2908,165.86µm
_15298_,165.81µm
u_fft_core.twiddle_data3_im\[0\],165.285µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[1\],165.08µm
u_fft_core.u_fft4.r_x0_im\[1\],165.045µm
net3025,164.995µm
net4097,164.785µm
u_fft_core.mdc_ff2_data1_im\[7\],164.685µm
_05508_,164.22µm
net4102,164.04µm
fft_out_im\[0\],164.035µm
net3844,163.93µm
clknet_7_10__leaf_i_clk,163.605µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_r\[1\],163.51µm
clknet_7_55__leaf_i_clk,163.3µm
_03578_,163.165µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_bt0_i\[0\]\[7\],163.13µm
net3523,162.9µm
net4098,162.5µm
_17256_,162.49µm
_14637_,162.48µm
clknet_7_33__leaf_i_clk,162.4µm
net3843,162.225µm
_04387_,162.15µm
_08553_,161.96µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_r\[7\],161.96µm
net3859,161.835µm
net3339,161.525µm
net3714,161.09µm
clknet_7_114__leaf_i_clk,161.01µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_r\[2\],160.87µm
u_fft_core.u_fft4.r_x0_im\[2\],160.83µm
clknet_7_103__leaf_i_clk,160.7µm
net3055,160.625µm
u_fft_core.mdc_ff2_data0_im\[0\],160.42µm
net3840,160.41µm
_03499_,160.37µm
_14995_,160.255µm
net3352,160.04µm
net3353,159.98µm
net2,159.895µm
_14868_,159.66µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[16\],159.53µm
_17271_,159.4µm
net3019,159.355µm
u_fft_core.twiddle_data3_im\[1\],159.15µm
u_fft_core.mdc_ff2_data1_re\[0\],159.14µm
_13687_,159.12µm
_03411_,159.06µm
net2995,159.035µm
clknet_7_69__leaf_i_clk,158.87µm
net4104,158.865µm
clknet_7_101__leaf_i_clk,158.54µm
net3047,158.46µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.u_btfly2.o_data0_i\[6\],158.11µm
net3833,158.09µm
u_fft_core.u_fft4.s2_x1_re\[0\],158.005µm
net2837,158µm
net3848,157.915µm
net3189,157.905µm
net3361,157.795µm
u_fft_core.u_twiddle_interface.mult3_re\[3\],157.68µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.u_btfly2.o_data0_r\[6\],157.63µm
net3252,157.49µm
clknet_7_41__leaf_i_clk,157.395µm
_14752_,157.38µm
net3330,157.31µm
u_fft_core.mdc_ff2_data1_im\[2\],157.245µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[5\],157.14µm
_15214_,157µm
_15080_,156.89µm
_14996_,156.775µm
net3319,156.73µm
net2986,156.64µm
clknet_7_30__leaf_i_clk,156.58µm
net3358,156.545µm
u_fft_core.shift_r4_data1_im\[7\],156.365µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[15\],156.29µm
u_fft_core.mdc_ff1_data0_re\[2\],156.11µm
net3355,156.09µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.r_bt0_i\[0\]\[1\],156.06µm
net3870,156.025µm
net3368,155.97µm
_05619_,155.935µm
_14773_,155.9µm
clknet_7_64__leaf_i_clk,155.87µm
net2907,155.72µm
net3374,155.72µm
net2800,155.655µm
_00520_,155.58µm
net2970,155.55µm
net3379,155.53µm
_13526_,155.445µm
u_fft_core.mdc_ff3_data0_im\[4\],155.305µm
net3151,155.23µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_bt0_i\[0\]\[5\],154.75µm
u_fft_core.u_twiddle_interface.mult3_re\[5\],154.725µm
_15005_,154.35µm
net3263,154.26µm
net2953,154.17µm
net3183,154.08µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_i\[6\],153.97µm
u_fft_core.mdc_ff0_data1_im\[3\],153.965µm
net3869,153.93µm
net3891,153.905µm
u_fft_core.u_twiddle_interface.mult3_re\[0\],153.85µm
u_fft_core.u_twiddle_interface.mult3_re\[2\],153.36µm
net3185,153.025µm
net3148,152.99µm
