net,length_um
_11727_,10.795µm
_15171_,10.795µm
_05211_,10.79µm
_08169_,10.79µm
_03823_,10.785µm
_03948_,10.78µm
_15110_,10.775µm
_04041_,10.77µm
_10250_,10.77µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[1\],10.77µm
_03968_,10.765µm
_16218_,10.765µm
_04328_,10.76µm
_05208_,10.76µm
_06690_,10.76µm
_10449_,10.76µm
_11417_,10.76µm
_11672_,10.76µm
_11830_,10.76µm
_12348_,10.76µm
_13071_,10.76µm
_16085_,10.76µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.r_idata_r\[0\]\[2\],10.76µm
_01973_,10.75µm
_02143_,10.75µm
_08752_,10.75µm
_11712_,10.75µm
_12582_,10.75µm
_13940_,10.75µm
_14159_,10.75µm
_17518_,10.75µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[4\],10.75µm
_04148_,10.745µm
_04865_,10.745µm
_02614_,10.74µm
_03331_,10.74µm
_03407_,10.74µm
_06730_,10.74µm
_07316_,10.74µm
_07463_,10.74µm
_08593_,10.74µm
_09072_,10.74µm
_13161_,10.74µm
_07297_,10.735µm
_13230_,10.735µm
_17800_,10.735µm
_01065_,10.725µm
_16903_,10.725µm
_02451_,10.72µm
_07114_,10.715µm
_16516_,10.715µm
_06127_,10.71µm
_08119_,10.71µm
_08777_,10.71µm
_17447_,10.71µm
_18103_,10.71µm
_03060_,10.705µm
_03377_,10.705µm
_10583_,10.705µm
u_fft_core.u_buffer_parallel2serial.mem_re\[19\]\[0\],10.705µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[1\]\[10\],10.705µm
_02367_,10.7µm
_02885_,10.7µm
_04327_,10.7µm
_04755_,10.7µm
_05074_,10.7µm
_05238_,10.7µm
_07763_,10.7µm
_08220_,10.7µm
_08361_,10.7µm
_09595_,10.7µm
_10441_,10.7µm
_10968_,10.7µm
_17727_,10.7µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[13\],10.7µm
u_fft_core.u_twiddle_interface.cnt_q\[1\],10.7µm
_01481_,10.69µm
_02494_,10.69µm
_02774_,10.69µm
_03386_,10.69µm
_05027_,10.69µm
_05088_,10.69µm
_06409_,10.69µm
_06465_,10.69µm
_06711_,10.69µm
_06933_,10.69µm
_07486_,10.69µm
_07832_,10.69µm
_08539_,10.69µm
_08574_,10.69µm
_08919_,10.69µm
_09355_,10.69µm
_09420_,10.69µm
_09615_,10.69µm
_11683_,10.69µm
_15343_,10.69µm
_15762_,10.69µm
_15970_,10.69µm
_16505_,10.69µm
_17078_,10.69µm
_17579_,10.69µm
net500,10.69µm
net708,10.69µm
net2603,10.69µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data1_r\[0\],10.69µm
_02209_,10.68µm
_04608_,10.68µm
_06680_,10.68µm
_10108_,10.68µm
_11813_,10.68µm
_12916_,10.68µm
_16053_,10.68µm
_17825_,10.68µm
net127,10.68µm
_14126_,10.675µm
_07607_,10.67µm
_07315_,10.665µm
_16373_,10.665µm
_07855_,10.66µm
_12748_,10.655µm
_05351_,10.645µm
_04143_,10.64µm
_04867_,10.64µm
_05288_,10.64µm
_05722_,10.64µm
_09598_,10.64µm
_03704_,10.635µm
_05744_,10.635µm
_08311_,10.635µm
_09929_,10.635µm
_01701_,10.63µm
_04601_,10.63µm
_05276_,10.63µm
_06136_,10.63µm
_10305_,10.63µm
_16820_,10.63µm
u_fft_core.twiddle_data2_im\[0\],10.63µm
u_fft_core.u_shift_r4.data_im_q\[110\],10.63µm
_00191_,10.62µm
_01736_,10.62µm
_03347_,10.62µm
_03643_,10.62µm
_04170_,10.62µm
_05546_,10.62µm
_06770_,10.62µm
_09896_,10.62µm
_10589_,10.62µm
_12375_,10.62µm
_16620_,10.62µm
_18136_,10.62µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.i_data_1r\[9\],10.62µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.i_data_1i\[1\],10.62µm
_03112_,10.605µm
_16055_,10.605µm
_17599_,10.605µm
net1162,10.605µm
net2205,10.605µm
_10748_,10.6µm
_02853_,10.595µm
_03314_,10.595µm
_09360_,10.595µm
_08016_,10.59µm
_08526_,10.59µm
_10059_,10.59µm
_10619_,10.59µm
_11180_,10.59µm
_07768_,10.585µm
_04603_,10.58µm
_08943_,10.58µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.o_data_0i\[8\],10.58µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.o_data_0r\[1\],10.58µm
_00694_,10.57µm
_00739_,10.57µm
_00760_,10.57µm
_01485_,10.57µm
_07443_,10.57µm
_09066_,10.57µm
_09149_,10.57µm
_12897_,10.57µm
_13344_,10.57µm
_15673_,10.57µm
_15820_,10.57µm
_17620_,10.57µm
_18126_,10.57µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage3.next_data0_r\[2\],10.57µm
net42,10.56µm
_03458_,10.56µm
_05617_,10.56µm
_05734_,10.56µm
_05852_,10.56µm
_06893_,10.56µm
_06905_,10.56µm
_07134_,10.56µm
_07433_,10.56µm
_07653_,10.56µm
_07869_,10.56µm
_08130_,10.56µm
_10012_,10.56µm
_11290_,10.56µm
_11955_,10.56µm
_14085_,10.56µm
_15329_,10.56µm
_15928_,10.56µm
_16209_,10.56µm
_17437_,10.56µm
net4459,10.56µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[4\],10.56µm
_08014_,10.555µm
_11968_,10.55µm
_12801_,10.55µm
_02386_,10.545µm
_08008_,10.545µm
_02527_,10.53µm
_04981_,10.53µm
_16063_,10.52µm
_09470_,10.515µm
_00352_,10.51µm
_00879_,10.51µm
_01608_,10.51µm
_01764_,10.51µm
_01790_,10.51µm
_01853_,10.51µm
_02190_,10.51µm
_03365_,10.51µm
_04716_,10.51µm
_05401_,10.51µm
_05569_,10.51µm
_05678_,10.51µm
_05795_,10.51µm
_06502_,10.51µm
_06512_,10.51µm
_07799_,10.51µm
_07902_,10.51µm
_08623_,10.51µm
_09122_,10.51µm
_09642_,10.51µm
_10013_,10.51µm
_10773_,10.51µm
_10899_,10.51µm
_11383_,10.51µm
_12252_,10.51µm
_13204_,10.51µm
_13617_,10.51µm
_14263_,10.51µm
_15275_,10.51µm
_15637_,10.51µm
_18020_,10.51µm
_18110_,10.51µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.r_bt0_i\[0\]\[0\],10.51µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[1\]\[0\],10.51µm
_01261_,10.5µm
_02097_,10.5µm
_02578_,10.5µm
_04543_,10.5µm
_04797_,10.5µm
_05533_,10.5µm
_06308_,10.5µm
_06648_,10.5µm
_07131_,10.5µm
_07164_,10.5µm
_11593_,10.5µm
_12179_,10.5µm
_12543_,10.5µm
_14134_,10.5µm
_15399_,10.5µm
_16178_,10.5µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[7\],10.5µm
u_fft_core.u_shift_r4.data_re_q\[45\],10.5µm
_03339_,10.495µm
_03895_,10.495µm
_06748_,10.495µm
_07888_,10.495µm
_14398_,10.495µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[7\],10.495µm
_14888_,10.49µm
_09541_,10.48µm
_17783_,10.48µm
_09586_,10.47µm
_12707_,10.47µm
_03708_,10.465µm
_06301_,10.46µm
_08916_,10.46µm
_10371_,10.46µm
_11721_,10.46µm
_13043_,10.46µm
_17788_,10.46µm
_00024_,10.45µm
_00654_,10.45µm
_01361_,10.45µm
_01421_,10.45µm
_02044_,10.45µm
_02244_,10.45µm
_02913_,10.45µm
_03211_,10.45µm
_03426_,10.45µm
_03529_,10.45µm
_03868_,10.45µm
_04224_,10.45µm
_04436_,10.45µm
_04730_,10.45µm
_04912_,10.45µm
_05326_,10.45µm
_05750_,10.45µm
_06432_,10.45µm
_06657_,10.45µm
_07085_,10.45µm
_08252_,10.45µm
_10260_,10.45µm
_10391_,10.45µm
_10939_,10.45µm
_11069_,10.45µm
_11073_,10.45µm
_12146_,10.45µm
_12427_,10.45µm
_13367_,10.45µm
_15418_,10.45µm
_15461_,10.45µm
_15785_,10.45µm
_16676_,10.45µm
_17363_,10.45µm
_17624_,10.45µm
_17653_,10.45µm
net163,10.45µm
net206,10.45µm
net523,10.45µm
net527,10.45µm
net529,10.45µm
net561,10.45µm
net562,10.45µm
net794,10.45µm
net901,10.45µm
net909,10.45µm
net1085,10.45µm
net1211,10.45µm
net1257,10.45µm
net1740,10.45µm
net2211,10.45µm
net2255,10.45µm
net2551,10.45µm
net2618,10.45µm
net2697,10.45µm
net4217,10.45µm
net4448,10.45µm
net4571,10.45µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.o_data_0i\[0\],10.45µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.o_data_0r\[7\],10.45µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_odata_r\[0\]\[1\],10.45µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[4\],10.45µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.w_data_1i\[8\],10.45µm
u_tx.current_shift\[9\],10.45µm
_07147_,10.445µm
_13425_,10.445µm
_00733_,10.44µm
_02040_,10.44µm
_02084_,10.44µm
_02263_,10.44µm
_02307_,10.44µm
_02518_,10.44µm
_02520_,10.44µm
_02900_,10.44µm
_03014_,10.44µm
_03372_,10.44µm
_04283_,10.44µm
_04632_,10.44µm
_05808_,10.44µm
_06252_,10.44µm
_06620_,10.44µm
_06962_,10.44µm
_07107_,10.44µm
_09054_,10.44µm
_09107_,10.44µm
_09789_,10.44µm
_10590_,10.44µm
_11169_,10.44µm
_11535_,10.44µm
_13292_,10.44µm
_13421_,10.44µm
_13792_,10.44µm
_14282_,10.44µm
_14537_,10.44µm
_15729_,10.44µm
net2593,10.44µm
u_fft_core.u_buffer_parallel2serial.mem_re\[19\]\[3\],10.44µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[1\]\[8\],10.44µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.w_data_1i\[7\],10.44µm
_06471_,10.435µm
_07084_,10.435µm
_07137_,10.435µm
_11631_,10.435µm
_12107_,10.435µm
_12824_,10.435µm
_13404_,10.435µm
_14520_,10.435µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[0\]\[4\],10.435µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[1\]\[17\],10.435µm
_04175_,10.42µm
_08228_,10.42µm
_11300_,10.42µm
_12350_,10.42µm
_17914_,10.42µm
_02627_,10.4µm
_02804_,10.4µm
_06610_,10.4µm
_09403_,10.4µm
_11298_,10.4µm
_12775_,10.4µm
_17181_,10.4µm
_17330_,10.4µm
_17837_,10.4µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.o_data_0r\[3\],10.4µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.o_data_0r\[0\],10.4µm
u_fft_core.u_shift_r2_fft2.data_re_q\[10\],10.4µm
_00323_,10.39µm
_00949_,10.39µm
_01100_,10.39µm
_01248_,10.39µm
_01538_,10.39µm
_01849_,10.39µm
_02659_,10.39µm
_04775_,10.39µm
_07771_,10.39µm
_08642_,10.39µm
_08829_,10.39µm
_09973_,10.39µm
_10204_,10.39µm
_11960_,10.39µm
_18099_,10.39µm
net1234,10.39µm
_10839_,10.385µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.i_data_0i\[0\],10.385µm
_02746_,10.38µm
_03421_,10.38µm
_03849_,10.38µm
_04403_,10.38µm
_04770_,10.38µm
_07907_,10.38µm
_11053_,10.38µm
_11281_,10.38µm
_11873_,10.38µm
_11975_,10.38µm
_13077_,10.38µm
_16757_,10.38µm
_16868_,10.38µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[0\]\[14\],10.38µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[1\]\[11\],10.38µm
_04065_,10.375µm
_05414_,10.375µm
_06243_,10.375µm
_09012_,10.375µm
_12258_,10.375µm
_17506_,10.375µm
u_tx.current_shift\[7\],10.375µm
_04400_,10.365µm
_09106_,10.365µm
_10069_,10.365µm
_10865_,10.365µm
_02745_,10.355µm
_03931_,10.355µm
_11192_,10.355µm
_01298_,10.35µm
_06598_,10.35µm
_07056_,10.35µm
_12732_,10.35µm
_04644_,10.345µm
_04796_,10.345µm
_11696_,10.345µm
_12529_,10.345µm
_18176_,10.345µm
_02350_,10.34µm
_04340_,10.34µm
_05991_,10.34µm
_08302_,10.34µm
_10050_,10.34µm
_10361_,10.34µm
_11436_,10.34µm
_11453_,10.34µm
_12069_,10.34µm
_14352_,10.34µm
_16388_,10.34µm
_16454_,10.34µm
_16512_,10.34µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[2\],10.34µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[0\],10.34µm
_02283_,10.33µm
_02556_,10.33µm
_03658_,10.33µm
_04036_,10.33µm
_04805_,10.33µm
_04839_,10.33µm
_05294_,10.33µm
_05353_,10.33µm
_05509_,10.33µm
_05648_,10.33µm
_07030_,10.33µm
_07295_,10.33µm
_07299_,10.33µm
_07578_,10.33µm
_08048_,10.33µm
_08597_,10.33µm
_08879_,10.33µm
_09144_,10.33µm
_09845_,10.33µm
_09985_,10.33µm
_10283_,10.33µm
_11644_,10.33µm
_12224_,10.33µm
_12788_,10.33µm
_12903_,10.33µm
_13589_,10.33µm
_14912_,10.33µm
net351,10.33µm
net733,10.33µm
net1260,10.33µm
net2470,10.33µm
net2516,10.33µm
net2617,10.33µm
net4168,10.33µm
net4395,10.33µm
net4457,10.33µm
u_debug_sys.u_debug_unit.last_out_im_sync\[7\],10.33µm
u_fft_core.u_fft4.s2_x3_re\[1\],10.33µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[1\],10.33µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.r_data0_r\[4\],10.33µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage2.ds_switch_stage1.w_data_1i\[4\],10.33µm
u_fft_core.u_twiddle_interface.u_mult_3.u_clip.o_data_re\[6\],10.33µm
_03772_,10.325µm
_07876_,10.325µm
_11256_,10.325µm
_18197_,10.325µm
_00125_,10.32µm
_00240_,10.32µm
_00279_,10.32µm
_00402_,10.32µm
_00868_,10.32µm
_00914_,10.32µm
_00966_,10.32µm
_00968_,10.32µm
_01876_,10.32µm
_02018_,10.32µm
_04738_,10.32µm
_05911_,10.32µm
_05959_,10.32µm
_07132_,10.32µm
_07604_,10.32µm
_08318_,10.32µm
_08941_,10.32µm
_11331_,10.32µm
_11941_,10.32µm
_12126_,10.32µm
_13293_,10.32µm
_13333_,10.32µm
_14156_,10.32µm
_14257_,10.32µm
_14712_,10.32µm
_16884_,10.32µm
_17226_,10.32µm
net74,10.32µm
net83,10.32µm
net731,10.32µm
net1178,10.32µm
net1292,10.32µm
net1295,10.32µm
net1469,10.32µm
net1586,10.32µm
net1593,10.32µm
net1748,10.32µm
net1855,10.32µm
net2249,10.32µm
net2463,10.32µm
net2628,10.32µm
net2640,10.32µm
net4388,10.32µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.ds_switch_stage1.r_idata_r\[0\]\[2\],10.32µm
u_fft_core.u_shift_r4.data_im_q\[86\],10.32µm
_05290_,10.315µm
_07594_,10.315µm
_07868_,10.315µm
_12197_,10.315µm
_12369_,10.315µm
_17691_,10.315µm
_06592_,10.305µm
_12306_,10.295µm
_05147_,10.29µm
_05176_,10.29µm
_09009_,10.29µm
_11524_,10.29µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.r_data0_r\[0\],10.29µm
_14318_,10.285µm
_06743_,10.28µm
_08179_,10.28µm
_11164_,10.28µm
_15119_,10.28µm
_17828_,10.28µm
_04354_,10.27µm
_05659_,10.27µm
_06254_,10.27µm
_07012_,10.27µm
_07369_,10.27µm
_07772_,10.27µm
_10301_,10.27µm
_10477_,10.27µm
_12464_,10.27µm
_13080_,10.27µm
_13834_,10.27µm
_14325_,10.27µm
_17283_,10.27µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[1\]\[2\],10.27µm
u_fft_core.u_shift_r4.data_im_q\[188\],10.27µm
_04199_,10.26µm
_04881_,10.26µm
_14243_,10.26µm
_03836_,10.255µm
_09203_,10.255µm
_13263_,10.255µm
_06225_,10.24µm
_08276_,10.235µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage2.r_data0_r\[3\],10.235µm
_02191_,10.23µm
_06685_,10.23µm
_07681_,10.23µm
_08693_,10.23µm
_13189_,10.23µm
_17081_,10.23µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.o_data_0i\[6\],10.23µm
_16754_,10.225µm
_17124_,10.225µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage2.ds_switch_stage1.o_data_0i\[4\],10.225µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.r_pp1_data_i\[3\],10.225µm
_06705_,10.22µm
_07308_,10.22µm
_08248_,10.22µm
_08563_,10.22µm
_10945_,10.22µm
_10979_,10.22µm
_17582_,10.22µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[1\]\[3\],10.22µm
_02605_,10.21µm
_03067_,10.21µm
_07307_,10.21µm
_08136_,10.21µm
_08569_,10.21µm
_09799_,10.21µm
_10092_,10.21µm
_10144_,10.21µm
_10463_,10.21µm
_10686_,10.21µm
_10853_,10.21µm
_11585_,10.21µm
_11710_,10.21µm
_12800_,10.21µm
_13063_,10.21µm
_15777_,10.21µm
_16015_,10.21µm
_16271_,10.21µm
_17420_,10.21µm
_17770_,10.21µm
net615,10.21µm
_11198_,10.205µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.r_data1_r\[6\],10.205µm
_02987_,10.2µm
_03077_,10.2µm
_04721_,10.2µm
_04905_,10.2µm
_05098_,10.2µm
_06981_,10.2µm
_09877_,10.2µm
_10503_,10.2µm
_11566_,10.2µm
_11802_,10.2µm
_15283_,10.2µm
_16074_,10.2µm
net1367,10.2µm
_05681_,10.195µm
_13019_,10.195µm
_03509_,10.185µm
_03993_,10.185µm
_02575_,10.18µm
_07968_,10.17µm
_10618_,10.17µm
_11365_,10.17µm
_16058_,10.17µm
_17310_,10.17µm
_02464_,10.165µm
_02495_,10.16µm
_03628_,10.16µm
_06757_,10.16µm
_07561_,10.16µm
_07577_,10.16µm
_09922_,10.16µm
_11273_,10.16µm
_13058_,10.16µm
_16584_,10.16µm
_00047_,10.15µm
_06028_,10.15µm
_06415_,10.15µm
_09048_,10.15µm
_10626_,10.15µm
_11617_,10.15µm
_12555_,10.15µm
rx_data_re\[4\],10.15µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[14\],10.15µm
u_fft_core.u_shift_r4.data_im_q\[99\],10.15µm
_01147_,10.14µm
_07841_,10.14µm
_09268_,10.14µm
_10323_,10.14µm
_11306_,10.14µm
_12222_,10.14µm
_12309_,10.14µm
_12692_,10.14µm
_13848_,10.14µm
_14091_,10.14µm
_14683_,10.14µm
_15797_,10.14µm
_15894_,10.14µm
_16742_,10.14µm
_16929_,10.14µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[0\]\[6\],10.14µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[1\]\[10\],10.14µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.o_data_1r\[1\],10.14µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.xfft_cell_route1.w_mult_r\[1\]\[13\],10.14µm
_02335_,10.125µm
_03130_,10.125µm
_04575_,10.125µm
_05824_,10.125µm
_08756_,10.125µm
_09196_,10.125µm
_17723_,10.125µm
net563,10.125µm
_03531_,10.12µm
_07334_,10.12µm
_09847_,10.12µm
_17758_,10.12µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.r_data1_i\[5\],10.12µm
_04486_,10.115µm
_05687_,10.115µm
_07683_,10.115µm
_10620_,10.11µm
_05068_,10.105µm
_17243_,10.105µm
_02592_,10.1µm
_08781_,10.1µm
_09291_,10.1µm
_16145_,10.095µm
_01396_,10.09µm
_02336_,10.09µm
_02888_,10.09µm
_03695_,10.09µm
_05974_,10.09µm
_08344_,10.09µm
_08629_,10.09µm
_13196_,10.09µm
_13426_,10.09µm
_15557_,10.09µm
_16368_,10.09µm
_16986_,10.09µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.w_data_1i\[4\],10.09µm
u_fft_core.u_twiddle_interface.u_mult_1.u_clip.o_data_re\[7\],10.09µm
_07873_,10.085µm
_01412_,10.08µm
_02214_,10.08µm
_02311_,10.08µm
_04454_,10.08µm
_04830_,10.08µm
_05109_,10.08µm
_05320_,10.08µm
_06423_,10.08µm
_07181_,10.08µm
_08101_,10.08µm
_08320_,10.08µm
_08564_,10.08µm
_09547_,10.08µm
_09787_,10.08µm
_10048_,10.08µm
_10062_,10.08µm
_11334_,10.08µm
_12111_,10.08µm
_12429_,10.08µm
_12501_,10.08µm
_12503_,10.08µm
_13170_,10.08µm
_13830_,10.08µm
_13964_,10.08µm
_14313_,10.08µm
_15747_,10.08µm
_17853_,10.08µm
_17860_,10.08µm
_18100_,10.08µm
net1486,10.08µm
net1571,10.08µm
net2005,10.08µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.valid_count\[2\],10.08µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage1.xfft_cell_route1.w_mult_i\[0\]\[8\],10.08µm
_04172_,10.075µm
_08837_,10.075µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[7\],10.075µm
_02012_,10.065µm
_03516_,10.065µm
_14642_,10.065µm
_07002_,10.055µm
_03977_,10.05µm
_04605_,10.05µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_i\[1\]\[9\],10.04µm
_05624_,10.035µm
_00028_,10.03µm
_00446_,10.03µm
_00652_,10.03µm
_00951_,10.03µm
_01198_,10.03µm
_01288_,10.03µm
_01325_,10.03µm
_01445_,10.03µm
_01536_,10.03µm
_01632_,10.03µm
_01975_,10.03µm
_02091_,10.03µm
_02121_,10.03µm
_02262_,10.03µm
_02388_,10.03µm
_02791_,10.03µm
_03227_,10.03µm
_03332_,10.03µm
_04021_,10.03µm
_04211_,10.03µm
_04302_,10.03µm
_05265_,10.03µm
_05797_,10.03µm
_06532_,10.03µm
_06807_,10.03µm
_09249_,10.03µm
_12218_,10.03µm
_12607_,10.03µm
_15067_,10.03µm
_15547_,10.03µm
_15595_,10.03µm
_15640_,10.03µm
_15906_,10.03µm
_17099_,10.03µm
_17614_,10.03µm
_17844_,10.03µm
_17941_,10.03µm
_17952_,10.03µm
_17974_,10.03µm
_17998_,10.03µm
_18131_,10.03µm
u_fft_core.fft4_data1_im\[7\],10.03µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.ds_switch_stage1.valid_count\[3\],10.03µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage1.xfft_cell_route1.r_pp2_mult_r\[1\]\[0\],10.03µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_i\[1\]\[8\],10.03µm
u_fft_core.u_twiddle_interface.data0_im_2q\[1\],10.03µm
_00655_,10.02µm
_02184_,10.02µm
_02249_,10.02µm
_02329_,10.02µm
_04037_,10.02µm
_04408_,10.02µm
_05230_,10.02µm
_07745_,10.02µm
_07809_,10.02µm
_08385_,10.02µm
_08589_,10.02µm
_09290_,10.02µm
_10070_,10.02µm
_10227_,10.02µm
_04707_,10.015µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.r_idata_r\[0\]\[7\],10.015µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.ds_switch_stage1.r_idata_r\[1\]\[0\],10.015µm
_07817_,10.01µm
_09485_,10.01µm
_14657_,10.01µm
_00768_,10.005µm
_01080_,10.005µm
_04715_,10.005µm
_11419_,10.005µm
_16503_,10.005µm
net225,10.005µm
_04013_,9.99µm
_12773_,9.99µm
_17810_,9.985µm
u_fft_core.u_fft8_mdc3.u_mdc8p_stage1.ds_switch_stage1.i_data_0r\[6\],9.985µm
_03532_,9.98µm
_06469_,9.98µm
_07393_,9.98µm
_10236_,9.98µm
_10478_,9.98µm
_11287_,9.98µm
_11296_,9.98µm
_11628_,9.98µm
_11920_,9.98µm
_02159_,9.97µm
_03503_,9.97µm
_03645_,9.97µm
_04073_,9.97µm
_04383_,9.97µm
_04739_,9.97µm
_05067_,9.97µm
_05168_,9.97µm
_06758_,9.97µm
_07196_,9.97µm
_08267_,9.97µm
_08359_,9.97µm
_08394_,9.97µm
_09016_,9.97µm
_09948_,9.97µm
_10888_,9.97µm
_10912_,9.97µm
_11601_,9.97µm
_12186_,9.97µm
_12595_,9.97µm
_13321_,9.97µm
_13724_,9.97µm
_14673_,9.97µm
_14707_,9.97µm
_14812_,9.97µm
_15068_,9.97µm
_15195_,9.97µm
_15633_,9.97µm
_17656_,9.97µm
_17676_,9.97µm
net189,9.97µm
net208,9.97µm
net521,9.97µm
net1248,9.97µm
net1998,9.97µm
net2626,9.97µm
net4452,9.97µm
u_fft_core.u_fft8_mdc0.u_mdc8p_stage2.ds_switch_stage1.r_idata_i\[0\]\[4\],9.97µm
u_fft_core.u_fft8_mdc1.u_mdc8p_stage2.ds_switch_stage1.w_data_1r\[9\],9.97µm
u_fft_core.u_fft8_mdc2.u_mdc8p_stage1.r_bt0_r\[0\]\[8\],9.97µm
u_fft_core.u_shift_r2_fft1.data_re_q\[12\],9.97µm
_12123_,9.965µm
_02769_,9.96µm
_03124_,9.96µm
_03757_,9.96µm
_05032_,9.96µm
_05390_,9.96µm
_06653_,9.96µm
_07214_,9.96µm
_10080_,9.96µm
_10703_,9.96µm
_10813_,9.96µm
_11322_,9.96µm
_11525_,9.96µm
_11586_,9.96µm
_12095_,9.96µm
_12370_,9.96µm
_12575_,9.96µm
_12905_,9.96µm
_13412_,9.96µm
_13560_,9.96µm
_13788_,9.96µm
_13885_,9.96µm
_14778_,9.96µm
_15711_,9.96µm
_17394_,9.96µm
net202,9.96µm
net2377,9.96µm
net2627,9.96µm
u_fft_core.u_buffer_parallel2serial.mem_re\[8\]\[0\],9.96µm
_02795_,9.955µm
_09045_,9.955µm
_09475_,9.955µm
_10340_,9.955µm
