Instance,Terminal,Layer,X location,Y location,Voltage
_43016__2352,VDD,Metal1,310.2120,71.7030,1.198205
_43017__2351,VDD,Metal1,224.0270,49.0230,1.198349
_43018__2350,VDD,Metal1,80.0270,124.8560,1.198166
_43019__2349,VDD,Metal1,74.7470,147.3030,1.198114
_43020__2348,VDD,Metal1,27.7070,298.7360,1.197791
_43021__2347,VDD,Metal1,25.3070,366.5430,1.197843
_43022__2346,VDD,Metal1,59.1720,404.3430,1.197818
_43023__2345,VDD,Metal1,307.0670,139.7430,1.198036
_43024__2344,VDD,Metal1,305.8920,86.8230,1.198158
_43025__2343,VDD,Metal1,236.0270,56.5830,1.198281
_43026__2342,VDD,Metal1,92.0270,139.7430,1.198119
_43027__2341,VDD,Metal1,96.6120,169.9830,1.198108
_43028__2340,VDD,Metal1,40.6670,283.6160,1.197869
_43029__2339,VDD,Metal1,35.6520,366.7760,1.197841
_43030__2338,VDD,Metal1,63.4920,381.8960,1.197837
_43031__2337,VDD,Metal1,318.3720,132.4160,1.198033
_43032__2336,VDD,Metal1,302.0520,101.9430,1.198116
_43033__2335,VDD,Metal1,235.0670,71.7030,1.198220
_43034__2334,VDD,Metal1,104.5070,139.9760,1.198117
_43035__2333,VDD,Metal1,86.2670,177.7760,1.198093
_43036__2332,VDD,Metal1,54.5870,291.1760,1.197858
_43037__2331,VDD,Metal1,52.1870,374.1030,1.197866
_43038__2330,VDD,Metal1,52.1870,381.6630,1.197838
_43039__2329,VDD,Metal1,264.3470,132.4160,1.198061
_43040__2328,VDD,Metal1,305.4120,109.5030,1.198117
_43041__2327,VDD,Metal1,245.6270,71.7030,1.198213
_43042__2326,VDD,Metal1,130.4270,162.4230,1.198090
_43043__2325,VDD,Metal1,99.7070,170.2160,1.198106
_43044__2324,VDD,Metal1,52.1870,283.3830,1.197866
_43045__2323,VDD,Metal1,52.4520,336.5360,1.197857
_43046__2322,VDD,Metal1,61.3070,366.7760,1.197840
_43071__2321,VDD,Metal1,745.3070,442.1430,1.197764
_43072__2320,VDD,Metal1,759.9720,465.0560,1.197756
_43073__2319,VDD,Metal1,850.4270,487.5030,1.197793
_43074__2318,VDD,Metal1,669.4670,457.4960,1.197752
_43075__2317,VDD,Metal1,777.7320,540.6560,1.197782
_43076__2316,VDD,Metal1,648.8270,502.6230,1.197802
_43077__2315,VDD,Metal1,766.9070,510.4160,1.197776
_43078__2314,VDD,Metal1,724.4520,495.2960,1.197784
_43079__2313,VDD,Metal1,735.7070,646.4960,1.197971
_43080__2312,VDD,Metal1,788.7720,676.7360,1.198031
_43081__2311,VDD,Metal1,820.1870,668.9430,1.198006
_43082__2310,VDD,Metal1,706.2120,737.2160,1.198147
_43083__2309,VDD,Metal1,751.5470,699.1830,1.198054
_43084__2308,VDD,Metal1,693.4670,600.9030,1.197913
_43085__2307,VDD,Metal1,812.0270,714.5360,1.198125
_43086__2306,VDD,Metal1,761.1470,691.6230,1.197996
_43793__2305,VDD,Metal1,848.7720,208.0160,1.197982
_43794__2304,VDD,Metal1,858.1070,185.3360,1.198053
_43795__2303,VDD,Metal1,849.7320,177.7760,1.198125
_42362__2302,VDD,Metal1,182.2670,533.0960,1.197626
_43796__2301,VDD,Metal1,845.1470,200.4560,1.198033
_43797__2300,VDD,Metal1,799.8120,381.8960,1.197791
_44053__2299,VDD,Metal1,316.1870,752.1030,1.198143
_43798__2298,VDD,Metal1,783.7070,442.1430,1.197763
_43169__2297,VDD,Metal1,397.3070,616.0230,1.197934
_43170__2296,VDD,Metal1,397.3070,638.7030,1.197973
_43171__2295,VDD,Metal1,407.3870,608.4630,1.197898
_43172__2294,VDD,Metal1,398.5320,593.3430,1.197887
_43173__2293,VDD,Metal1,413.1470,608.4630,1.197898
_43174__2292,VDD,Metal1,404.0270,608.4630,1.197898
_43175__2291,VDD,Metal1,587.8670,207.7830,1.197938
_43176__2290,VDD,Metal1,596.5070,192.6630,1.197960
_43177__2289,VDD,Metal1,567.2270,192.6630,1.197955
